Error_isANodeConnectedToANamedNode_NL,,,, :: Error_shortestPathBetween2Nodes_NL,,,, :: Error_areTwoNamedNodesConnected_NL,,,,
Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5 :: Q1,Q2,Q3,Q4,Q5
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0 :: 0.0,0.0,0.0,0.0,0.0
