Acc_neighbor_two_step_NL-LongTrainShortTime,Acc_neighbor_count_NL-LongTrainShortTime
0.8333333333333334,0.6666666666666666
0.8333333333333334,0.5
1.0,0.6666666666666666
0.8333333333333334,1.0
1.0,0.8333333333333334
1.0,0.8333333333333334
1.0,0.6666666666666666
0.8333333333333334,0.6666666666666666
1.0,0.6666666666666666
0.8333333333333334,0.5
1.0,0.8333333333333334
1.0,0.8333333333333334
1.0,0.6666666666666666
0.8333333333333334,0.8333333333333334
0.8333333333333334,0.8333333333333334
0.6666666666666666,1.0
1.0,0.5
1.0,1.0
0.8333333333333334,0.5
